"","SRR13535277","SRR13535279","SRR13535281","SRR13535283","SRR13535285","SRR13535287","SRR13535289","SRR13535291","SRR13535293","SRR13535295","SRR13535297","SRR13535299","SRR13535301","SRR13535303","SRR13535305","SRR13535307","SRR13535309","SRR13535311"
"mmu-miR-126a-5p",4,61,6,19,123,36,50,53,28,164,3,8,0,131,12,51,43,42
"mmu-miR-126a-3p",4,1,5,0,12,0,8,8,0,13,0,0,0,0,0,0,0,0
"mmu-miR-127-3p",25,74,36,24,305,87,119,74,503,160,0,9,1,0,13,169,73,492
"mmu-miR-127-5p",0,1,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0
"mmu-miR-128-3p",38,197,15,58,120,31,89,255,102,338,2,9,0,0,2,36,134,334
"mmu-miR-128-1-5p",7,4,0,26,8,4,20,0,10,0,0,2,0,0,2,19,0,0
"mmu-miR-129-5p",0,6,9,13,4,0,11,0,27,25,0,0,0,0,1,0,0,0
"mmu-miR-129-1-3p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-129-2-3p",7,5,0,20,15,0,27,14,18,0,0,0,0,0,0,0,0,0
"mmu-miR-1291",1,3,0,4,8,0,6,19,9,5,0,2,0,0,0,0,0,0
"mmu-miR-129b-3p",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"mmu-miR-129b-5p",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-1306-5p",4,43,51,0,31,0,25,49,9,69,2,0,0,0,3,0,0,0
"mmu-miR-1306-3p",0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
"mmu-miR-130a-3p",333,1708,209,410,1317,814,1006,1770,853,2328,80,160,951,230,128,727,1800,2640
"mmu-miR-130a-5p",0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-130b-3p",24,192,2,8,159,33,94,208,123,187,10,16,0,1,5,87,41,183
"mmu-miR-130b-5p",17,105,22,26,75,8,82,155,80,174,2,6,1,0,0,7,0,93
"mmu-miR-132-3p",9,53,0,12,66,31,33,58,60,27,0,6,0,0,6,1,0,114
"mmu-miR-132-5p",0,1,7,0,11,0,2,0,6,0,0,2,0,0,0,0,0,0
"mmu-miR-133a-3p",7,84,11,19,143,31,16,26,26,23,1,4,567,0,7,51,0,155
"mmu-miR-133b-3p",6,70,7,18,16,9,13,26,18,23,1,2,214,0,3,51,0,155
"mmu-miR-133b-5p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-135a-5p",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-136-3p",0,0,0,0,11,0,1,0,0,0,4,0,0,0,0,0,0,0
"mmu-miR-138-5p",0,1,0,0,14,12,0,0,10,18,0,0,0,0,2,2,0,0
"mmu-miR-138-1-3p",0,2,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0
"mmu-miR-139-5p",0,10,0,0,4,0,9,0,21,15,0,0,0,0,5,0,0,0
"mmu-miR-139-3p",0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-140-3p",1045,9966,2167,2290,5608,2239,5835,10621,4190,10730,479,968,5154,2663,2732,11291,13379,114364
"mmu-miR-140-5p",26,153,77,64,100,10,167,293,78,183,14,37,0,0,58,25,80,1035
"mmu-miR-141-3p",11,11,0,0,1,0,8,18,5,14,0,2,0,0,1,0,0,0
"mmu-miR-142a-5p",6,46,20,11,81,61,19,41,42,97,0,7,0,0,10,24,62,78
"mmu-miR-142a-3p",0,0,0,0,4,0,6,0,9,11,0,1,0,0,2,0,0,0
"mmu-miR-143-3p",20011,275475,13675,19200,145398,38084,81069,234679,20752,246912,5707,12807,97792,18277,10249,128014,766886,395950
"mmu-miR-143-5p",0,69,0,47,34,0,19,95,31,44,5,1,0,1,0,0,0,0
"mmu-miR-144-3p",0,3,0,0,5,0,1,8,10,61,0,0,0,38,0,6,0,0
"mmu-miR-144-5p",5,0,0,0,0,0,0,0,0,19,0,0,0,74,0,0,0,0
"mmu-miR-145a-3p",107,1401,163,171,777,229,350,776,96,849,30,65,136,52,110,311,715,1778
"mmu-miR-145a-5p",83,830,271,273,291,136,567,376,305,387,165,421,0,157,160,876,989,692
"mmu-miR-145b",0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"mmu-miR-146a-5p",1110,7190,838,1959,6509,1785,4787,5334,1494,10278,190,702,6524,968,1239,6399,19111,59840
"mmu-miR-146a-3p",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-146b-5p",1413,5416,807,1816,5921,1993,3456,3475,983,5412,163,651,2776,742,1586,5003,4804,14500
"mmu-miR-146b-3p",0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-147-3p",0,7,0,0,0,9,21,7,0,24,0,1,0,0,0,0,0,0
"mmu-miR-147-5p",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"mmu-miR-148a-3p",1714,8321,1339,1990,5034,3153,4329,7961,1670,11104,234,817,4616,1800,2072,11461,20733,39504
"mmu-miR-148a-5p",7,64,13,0,16,8,15,75,22,46,1,10,0,54,15,19,55,246
"mmu-miR-148b-3p",315,3538,577,854,1652,802,1219,1921,731,1829,53,234,5,93,168,545,902,1458
"mmu-miR-148b-5p",29,129,47,37,101,61,146,124,36,32,8,10,1,0,0,1,182,0
"mmu-miR-149-5p",481,3240,680,1454,2703,1175,2463,3595,2637,3786,173,323,223,72,249,349,216,1733
"mmu-miR-150-5p",0,4,0,16,9,12,6,0,84,31,0,1,0,0,0,0,0,0
"mmu-miR-151-3p",6244,66013,6961,8429,24288,8342,24904,38494,24783,33762,1458,4384,50675,12387,5286,44222,133231,194297
"mmu-miR-151-5p",1241,16885,1019,1764,7793,2789,4910,10737,5354,9979,293,525,936,250,233,1568,4320,3643
"mmu-miR-152-3p",29,349,48,54,257,85,219,254,81,504,2,11,415,1,29,163,325,1109
"mmu-miR-152-5p",98,401,91,109,200,153,136,213,170,408,20,60,0,0,51,181,129,849
"mmu-miR-153-3p",38,191,50,25,168,53,155,282,0,174,3,31,0,1,36,104,125,88
"mmu-miR-153-5p",0,0,0,0,9,0,0,24,20,23,3,0,0,0,0,0,0,0
"mmu-miR-154-5p",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-155-5p",20,129,19,0,40,10,70,159,6,17,1,10,981,0,8,14,1,0
"mmu-miR-15a-5p",48,255,53,53,245,100,213,281,77,382,24,29,0,2,14,32,39,96
"mmu-miR-15a-3p",1,11,0,0,2,8,1,26,3,0,0,0,0,0,0,0,0,0
"mmu-miR-15b-5p",44,502,83,171,220,32,233,219,170,266,16,25,0,0,30,53,0,240
"mmu-miR-15b-3p",4,15,0,7,22,5,0,1,0,14,0,0,0,0,0,0,0,0
"mmu-miR-16-5p",2494,13041,1221,3514,13774,5209,9794,9290,2900,14489,369,608,2253,131,669,2466,4720,5384
"mmu-miR-16-1-3p",0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"mmu-miR-16-2-3p",0,10,0,0,4,0,1,0,0,13,0,0,0,0,0,0,0,0
"mmu-miR-1668",0,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,50,0
"mmu-miR-17-5p",39,156,27,33,128,26,136,124,101,226,1,17,0,0,6,21,25,0
"mmu-miR-17-3p",13,35,0,1,21,33,10,31,3,85,5,9,0,0,0,6,0,36
"mmu-miR-181a-5p",14625,75226,10684,14100,50973,21962,35852,52518,40568,87714,2431,8044,14335,4192,12257,39221,49360,121506
"mmu-miR-181a-1-3p",29,182,17,92,61,34,114,133,128,213,8,21,1,0,31,153,68,727
"mmu-miR-181a-2-3p",58,667,83,156,323,57,220,550,265,522,8,57,0,3,34,259,419,951
"mmu-miR-181b-5p",1341,6937,894,1080,4200,2321,3148,5384,4903,7059,144,927,6382,2078,996,2982,11535,21566
"mmu-miR-181b-1-3p",0,6,0,0,3,14,4,0,0,0,0,2,0,0,0,0,0,0
"mmu-miR-181c-5p",1281,6893,842,1336,4080,2210,3638,6027,2663,9410,292,580,352,97,499,2766,1537,3719
"mmu-miR-181c-3p",60,405,105,148,252,66,202,372,275,567,27,45,0,1,64,147,193,1308
"mmu-miR-181d-5p",360,2248,250,362,1253,930,1123,2569,1223,2260,40,279,3765,107,460,1165,3674,7996
"mmu-miR-181d-3p",0,13,2,0,5,9,8,58,3,6,0,0,0,0,1,0,0,0
"mmu-miR-182-5p",4676,19761,2321,5221,11829,5257,11633,13531,13892,19165,760,1974,34879,7046,2284,17648,69081,96617
"mmu-miR-182-3p",3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"mmu-miR-183-5p",287,2064,224,410,1257,503,1310,1391,871,1943,100,123,2785,361,186,805,3477,3668
"mmu-miR-183-3p",10,20,0,19,18,0,19,22,13,64,0,0,0,0,1,22,0,0
"mmu-miR-1839-5p",25,230,1,65,140,89,113,66,129,210,1,9,345,104,20,98,107,279
"mmu-miR-1839-3p",0,19,11,0,10,0,7,10,18,23,0,0,0,0,1,15,0,0
"mmu-miR-184-3p",0,10,7,11,11,0,3,0,0,0,0,0,0,0,0,10,58,124
"mmu-miR-1843a-5p",26,191,11,9,147,50,96,200,37,210,4,10,0,74,11,102,620,1337
"mmu-miR-1843a-3p",1,6,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"mmu-miR-1843b-5p",20,295,16,32,119,74,96,241,55,340,4,25,147,76,18,128,578,983
"mmu-miR-1843b-3p",36,205,8,18,97,68,122,157,158,258,12,11,0,1,8,55,218,201
"mmu-miR-185-3p",2,13,0,0,8,0,3,21,0,11,1,0,0,0,0,10,0,0
"mmu-miR-185-5p",0,14,4,1,31,0,4,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-186-5p",3200,11489,3516,4685,5663,3142,6258,8316,5507,9743,1012,1760,1960,287,697,4513,4282,10443
"mmu-miR-186-3p",0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"mmu-miR-187-3p",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"mmu-miR-187-5p",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-188-5p",4,38,3,0,8,12,21,13,13,33,3,6,0,0,3,0,0,0
"mmu-miR-188-3p",0,25,0,12,5,8,0,28,0,21,0,0,0,0,0,14,0,0
"mmu-miR-1895",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"mmu-miR-18a-5p",0,25,0,0,18,15,27,19,13,23,1,0,0,1,5,0,0,0
"mmu-miR-18a-3p",0,32,3,0,13,7,2,10,6,18,1,0,0,0,0,0,0,0
"mmu-miR-190a-5p",19,11,0,0,13,0,2,15,0,17,0,0,0,0,0,0,0,0
"mmu-miR-190a-3p",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-190b-5p",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-190b-3p",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-191-5p",10570,101444,13766,19300,45853,16305,40964,42716,29703,54363,2626,5360,46380,9224,8177,33970,105053,199707
"mmu-miR-191-3p",7,25,0,10,8,10,15,61,18,0,1,0,0,0,0,18,0,114
"mmu-miR-192-5p",292,1243,165,211,1081,539,735,1250,561,1343,27,112,234,91,177,860,1272,6830
"mmu-miR-1927",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-1930-3p",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"mmu-miR-1930-5p",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-1931",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"mmu-miR-1933-3p",1,10,0,0,3,0,5,24,9,15,0,0,0,0,0,0,0,0
"mmu-miR-1934-5p",3,0,0,0,13,0,2,0,8,0,0,6,0,0,0,0,0,0
"mmu-miR-1934-3p",0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"mmu-miR-193a-3p",36,66,26,56,111,27,62,263,34,242,20,18,1,0,16,40,0,0
"mmu-miR-193a-5p",0,6,0,25,0,10,2,0,0,0,0,0,0,0,1,0,0,0
"mmu-miR-193b-3p",12,92,49,50,27,0,25,50,5,28,4,17,0,0,15,0,55,1
"mmu-miR-193b-5p",0,0,0,0,5,0,4,0,5,0,0,2,0,0,0,0,0,0
"mmu-miR-194-5p",24,89,20,25,77,43,84,92,70,97,4,8,0,0,3,30,0,117
"mmu-miR-1941-5p",0,5,11,0,10,0,3,0,8,0,0,0,0,0,0,0,0,0
"mmu-miR-1941-3p",0,4,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"mmu-miR-1943-5p",15,91,19,48,82,44,94,117,53,96,7,20,328,0,9,55,155,106
"mmu-miR-1943-3p",0,1,0,0,3,0,0,3,7,0,0,0,0,0,0,0,0,0
"mmu-miR-1945",0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,16,0,0
"mmu-miR-1946a",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"mmu-miR-1947-5p",5,22,3,10,18,0,0,0,13,16,0,1,0,0,0,9,18,0
"mmu-miR-1948-3p",0,13,0,0,28,10,13,41,4,33,0,1,0,0,0,5,0,0
"mmu-miR-1948-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"mmu-miR-1949",0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-1955-5p",3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-1956",3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-195a-5p",53,266,22,69,196,91,162,164,35,155,3,18,386,84,16,11,191,296
"mmu-miR-195a-3p",7,19,20,0,19,1,29,11,9,27,3,0,0,0,11,9,1,129
"mmu-miR-1960",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-1964-3p",13,72,4,14,53,22,52,59,81,61,0,5,0,0,4,25,46,0
"mmu-miR-1964-5p",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-1966-3p",0,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,88
"mmu-miR-1966-5p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-196a-5p",113,358,68,63,212,227,133,551,240,196,12,56,220,3,170,136,121,452
"mmu-miR-196a-2-3p",10,49,20,25,43,24,45,80,11,61,9,10,0,1,4,66,64,123
"mmu-miR-196b-5p",91,755,113,69,374,152,241,481,289,453,17,109,480,2,107,204,0,1430
"mmu-miR-196b-3p",0,8,0,0,2,0,2,29,2,0,0,2,0,0,0,0,0,0
"mmu-miR-1981-3p",28,264,55,61,91,37,148,271,129,312,11,27,0,1,2,52,116,0
"mmu-miR-1981-5p",24,225,47,47,136,15,128,309,103,165,0,16,1,1,7,21,72,1
"mmu-miR-1982-3p",5,4,0,0,0,0,0,0,8,27,1,0,0,0,0,0,0,0
"mmu-miR-1983",7,110,0,37,29,1,69,92,63,104,19,16,0,0,5,0,0,0
"mmu-miR-199a-3p",1248,14022,1026,1525,8869,3496,5510,12905,3494,13309,201,775,32264,1531,675,1267,5214,6866
"mmu-miR-199a-5p",919,8055,1552,1928,3999,1512,4042,5540,4267,5877,319,603,1145,455,1105,2366,1932,11857
"mmu-miR-199b-3p",1248,14022,1026,1525,8869,3496,5510,12905,3494,13309,201,775,32264,1531,675,1267,5214,6866
"mmu-miR-199b-5p",8,24,0,15,1,1,17,3,11,2,0,0,1,1,0,1,3,9
"mmu-miR-19a-3p",31,98,81,1,44,19,41,56,0,60,0,4,573,0,5,118,0,236
"mmu-miR-19b-3p",191,672,171,346,264,267,400,315,70,321,138,284,313,1,79,796,232,845
"mmu-miR-1b-3p",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"mmu-miR-200a-3p",0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0
"mmu-miR-200b-3p",0,1,0,15,8,0,4,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-200c-3p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-201-5p",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"mmu-miR-203-3p",2,0,7,0,9,0,0,0,0,0,0,0,0,0,3,12,0,0
"mmu-miR-204-5p",0,0,0,0,4,0,0,0,17,0,0,3,0,0,0,16,0,0
"mmu-miR-205-5p",3,1,0,0,0,36,2,19,9,0,0,3,0,0,0,0,0,0
"mmu-miR-206-3p",0,40,0,8,27,1,2,36,4,0,0,1,591,0,3,0,0,1
"mmu-miR-208b-3p",0,2,0,1,7,0,0,10,0,0,0,0,0,0,3,0,0,0
"mmu-miR-20a-5p",7,108,46,30,55,0,45,17,5,83,0,10,0,0,2,30,1,107
"mmu-miR-20a-3p",0,11,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0
"mmu-miR-210-3p",609,4427,524,529,2600,1147,2146,5441,2551,5616,166,422,1446,689,259,1824,3874,2072
"mmu-miR-210-5p",594,4826,872,1662,1846,1000,2900,5831,1490,4203,133,313,244,4,98,207,208,246
"mmu-miR-211-5p",0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"mmu-miR-212-5p",0,30,0,25,24,0,14,40,30,0,0,0,0,0,5,11,0,0
"mmu-miR-212-3p",7,13,0,0,23,6,12,8,42,5,0,0,0,0,2,0,0,0
"mmu-miR-2137",11,32,0,6,70,23,23,43,45,64,4,4,81,0,2,15,146,56
"mmu-miR-214-3p",107,1645,93,223,699,260,747,1017,502,768,20,61,1,1,84,282,364,862
"mmu-miR-214-5p",23,247,1,39,213,83,114,294,162,153,4,11,1,95,22,52,57,119
"mmu-miR-215-5p",7,60,21,1,18,5,59,66,14,41,0,3,0,0,1,19,43,79
"mmu-miR-216a-3p",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"mmu-miR-217-5p",0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"mmu-miR-218-5p",8,64,23,7,63,26,42,98,17,18,1,7,0,48,13,56,156,515
"mmu-miR-218-1-3p",5,28,0,11,38,9,24,0,13,19,0,0,0,0,4,0,0,0
"mmu-miR-219a-1-3p",0,5,0,0,6,0,12,12,32,16,0,1,0,0,2,0,0,0
"mmu-miR-219a-5p",0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-219c-3p",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-219c-5p",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-21a-5p",22378,140548,30395,39972,84889,36963,68667,106247,16766,123436,6133,12655,54234,8550,10965,63753,82622,257129
"mmu-miR-21a-3p",300,3175,509,427,1977,543,1037,3679,225,2469,135,264,272,315,406,1792,3571,11351
"mmu-miR-21b",0,11,0,0,3,5,3,19,0,4,0,1,1,0,1,7,1,41
"mmu-miR-21c",0,11,0,0,3,5,3,19,0,4,0,1,0,0,1,7,1,41
"mmu-miR-22-3p",50879,318676,46559,74603,227945,100538,192428,353132,147584,369273,13776,25404,14617,7124,14305,82403,87871,167376
"mmu-miR-22-5p",4,31,1,0,23,7,24,7,3,14,0,1,0,0,0,0,0,0
"mmu-miR-221-3p",206,1290,242,359,953,419,939,1306,931,1185,57,194,338,123,112,199,171,1111
"mmu-miR-221-5p",221,1042,298,443,487,308,606,390,571,786,209,81,0,0,42,98,142,548
"mmu-miR-222-3p",610,3887,645,1421,2990,1032,2432,3239,4760,4509,180,409,648,5,175,265,624,1133
"mmu-miR-222-5p",15,66,10,0,49,28,51,46,50,107,4,3,0,0,3,5,0,1
"mmu-miR-223-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
"mmu-miR-224-5p",61,912,147,157,286,186,283,486,553,330,18,53,0,3,11,9,54,2
"mmu-miR-224-3p",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-23a-3p",1170,5309,814,2202,3292,1460,3126,3942,2785,4658,263,448,1279,421,573,1806,2362,5633
"mmu-miR-23a-5p",0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0
"mmu-miR-23b-3p",319,3187,529,721,1850,658,1228,1993,756,1810,54,191,616,142,299,673,1067,3281
"mmu-miR-23b-5p",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-24-3p",531,3610,264,509,3596,1128,2250,4369,559,4955,65,181,2940,938,497,2107,5453,8783
"mmu-miR-24-1-5p",2,8,0,0,5,0,17,10,7,0,0,2,0,0,0,2,0,0
"mmu-miR-24-2-5p",344,2595,325,661,1283,583,1429,1426,1303,1827,97,131,1,79,48,364,330,579
"mmu-miR-25-3p",300,1711,343,236,1592,712,1040,1999,1478,1951,36,143,1701,520,207,1178,4122,8917
"mmu-miR-25-5p",1,36,26,16,16,16,0,8,20,20,0,4,0,0,0,0,27,0
"mmu-miR-26a-5p",9603,75269,6824,14513,37827,17445,27406,37788,13194,62456,1656,2920,4200,762,2166,6829,10843,20728
