## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/chan/diabetes_mellitus/outputs/picard/SRR15202011_sorted.bam] OUTPUT=/home/chan/diabetes_mellitus/outputs/picard/SRR15202011_deduped.bam METRICS_FILE=/home/chan/diabetes_mellitus/outputs/picard/SRR15202011_deduped.log REMOVE_DUPLICATES=true ASSUME_SORT_ORDER=coordinate TMP_DIR=[/home/chan/diabetes_mellitus/tmp] CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 20 19:43:00 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	69206	23261270	6107617	0	58855	12730841	0	0.547748	12454288

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	7732100	7732100
2.0	1.154474	1749478	1749478
3.0	1.178336	440201	440201
4.0	1.182022	167922	167922
5.0	1.182591	89548	89548
6.0	1.182679	57466	57466
7.0	1.182693	40863	40863
8.0	1.182695	30244	30244
9.0	1.182695	23566	23566
10.0	1.182695	19072	19072
11.0	1.182695	15674	15674
12.0	1.182695	13014	13014
13.0	1.182695	11261	11261
14.0	1.182695	9581	9581
15.0	1.182695	8479	8479
16.0	1.182695	7514	7514
17.0	1.182695	6655	6655
18.0	1.182695	5996	5996
19.0	1.182695	5266	5266
20.0	1.182695	4771	4771
21.0	1.182695	4464	4464
22.0	1.182695	3928	3928
23.0	1.182695	3633	3633
24.0	1.182695	3325	3325
25.0	1.182695	3171	3171
26.0	1.182695	2795	2795
27.0	1.182695	2665	2665
28.0	1.182695	2489	2489
29.0	1.182695	2289	2289
30.0	1.182695	2218	2218
31.0	1.182695	2063	2063
32.0	1.182695	1986	1986
33.0	1.182695	1801	1801
34.0	1.182695	1668	1668
35.0	1.182695	1659	1659
36.0	1.182695	1508	1508
37.0	1.182695	1417	1417
38.0	1.182695	1425	1425
39.0	1.182695	1374	1374
40.0	1.182695	1225	1225
41.0	1.182695	1199	1199
42.0	1.182695	1175	1175
43.0	1.182695	1047	1047
44.0	1.182695	1068	1068
45.0	1.182695	949	949
46.0	1.182695	952	952
47.0	1.182695	846	846
48.0	1.182695	898	898
49.0	1.182695	853	853
50.0	1.182695	798	798
51.0	1.182695	731	731
52.0	1.182695	739	739
53.0	1.182695	766	766
54.0	1.182695	680	680
55.0	1.182695	626	626
56.0	1.182695	620	620
57.0	1.182695	665	665
58.0	1.182695	645	645
59.0	1.182695	595	595
60.0	1.182695	547	547
61.0	1.182695	565	565
62.0	1.182695	506	506
63.0	1.182695	513	513
64.0	1.182695	522	522
65.0	1.182695	497	497
66.0	1.182695	473	473
67.0	1.182695	459	459
68.0	1.182695	389	389
69.0	1.182695	427	427
70.0	1.182695	436	436
71.0	1.182695	389	389
72.0	1.182695	401	401
73.0	1.182695	351	351
74.0	1.182695	364	364
75.0	1.182695	353	353
76.0	1.182695	351	351
77.0	1.182695	335	335
78.0	1.182695	323	323
79.0	1.182695	307	307
80.0	1.182695	327	327
81.0	1.182695	323	323
82.0	1.182695	311	311
83.0	1.182695	280	280
84.0	1.182695	285	285
85.0	1.182695	283	283
86.0	1.182695	287	287
87.0	1.182695	276	276
88.0	1.182695	235	235
89.0	1.182695	255	255
90.0	1.182695	238	238
91.0	1.182695	235	235
92.0	1.182695	250	250
93.0	1.182695	225	225
94.0	1.182695	239	239
95.0	1.182695	200	200
96.0	1.182695	206	206
97.0	1.182695	215	215
98.0	1.182695	204	204
99.0	1.182695	196	196
100.0	1.182695	180	180
101.0	0	199	199
102.0	0	174	174
103.0	0	188	188
104.0	0	197	197
105.0	0	184	184
106.0	0	168	168
107.0	0	189	189
108.0	0	162	162
109.0	0	166	166
110.0	0	159	159
111.0	0	144	144
112.0	0	149	149
113.0	0	150	150
114.0	0	132	132
115.0	0	149	149
116.0	0	140	140
117.0	0	148	148
118.0	0	138	138
119.0	0	139	139
120.0	0	133	133
121.0	0	126	126
122.0	0	138	138
123.0	0	109	109
124.0	0	121	121
125.0	0	131	131
126.0	0	133	133
127.0	0	110	110
128.0	0	124	124
129.0	0	116	116
130.0	0	117	117
131.0	0	104	104
132.0	0	100	100
133.0	0	110	110
134.0	0	113	113
135.0	0	109	109
136.0	0	108	108
137.0	0	93	93
138.0	0	73	73
139.0	0	106	106
140.0	0	91	91
141.0	0	90	90
142.0	0	94	94
143.0	0	97	97
144.0	0	83	83
145.0	0	66	66
146.0	0	101	101
147.0	0	82	82
148.0	0	68	68
149.0	0	74	74
150.0	0	84	84
151.0	0	75	75
152.0	0	91	91
153.0	0	70	70
154.0	0	81	81
155.0	0	66	66
156.0	0	66	66
157.0	0	75	75
158.0	0	67	67
159.0	0	78	78
160.0	0	80	80
161.0	0	77	77
162.0	0	89	89
163.0	0	72	72
164.0	0	68	68
165.0	0	84	84
166.0	0	65	65
167.0	0	52	52
168.0	0	61	61
169.0	0	66	66
170.0	0	66	66
171.0	0	44	44
172.0	0	54	54
173.0	0	68	68
174.0	0	72	72
175.0	0	52	52
176.0	0	53	53
177.0	0	65	65
178.0	0	57	57
179.0	0	59	59
180.0	0	48	48
181.0	0	60	60
182.0	0	49	49
183.0	0	35	35
184.0	0	45	45
185.0	0	51	51
186.0	0	61	61
187.0	0	52	52
188.0	0	41	41
189.0	0	50	50
190.0	0	44	44
191.0	0	49	49
192.0	0	43	43
193.0	0	44	44
194.0	0	49	49
195.0	0	59	59
196.0	0	42	42
197.0	0	42	42
198.0	0	51	51
199.0	0	52	52
200.0	0	39	39
201.0	0	45	45
202.0	0	38	38
203.0	0	45	45
204.0	0	42	42
205.0	0	40	40
206.0	0	48	48
207.0	0	40	40
208.0	0	38	38
209.0	0	39	39
210.0	0	44	44
211.0	0	42	42
212.0	0	41	41
213.0	0	41	41
214.0	0	35	35
215.0	0	33	33
216.0	0	35	35
217.0	0	28	28
218.0	0	32	32
219.0	0	31	31
220.0	0	29	29
221.0	0	35	35
222.0	0	42	42
223.0	0	34	34
224.0	0	35	35
225.0	0	31	31
226.0	0	53	53
227.0	0	30	30
228.0	0	32	32
229.0	0	36	36
230.0	0	21	21
231.0	0	34	34
232.0	0	46	46
233.0	0	34	34
234.0	0	27	27
235.0	0	26	26
236.0	0	29	29
237.0	0	36	36
238.0	0	24	24
239.0	0	32	32
240.0	0	34	34
241.0	0	22	22
242.0	0	40	40
243.0	0	37	37
244.0	0	29	29
245.0	0	20	20
246.0	0	36	36
247.0	0	21	21
248.0	0	27	27
249.0	0	34	34
250.0	0	27	27
251.0	0	19	19
252.0	0	26	26
253.0	0	29	29
254.0	0	30	30
255.0	0	36	36
256.0	0	33	33
257.0	0	20	20
258.0	0	21	21
259.0	0	24	24
260.0	0	25	25
261.0	0	22	22
262.0	0	28	28
263.0	0	14	14
264.0	0	25	25
265.0	0	15	15
266.0	0	32	32
267.0	0	15	15
268.0	0	27	27
269.0	0	23	23
270.0	0	20	20
271.0	0	22	22
272.0	0	23	23
273.0	0	21	21
274.0	0	18	18
275.0	0	17	17
276.0	0	20	20
277.0	0	18	18
278.0	0	18	18
279.0	0	24	24
280.0	0	15	15
281.0	0	18	18
282.0	0	22	22
283.0	0	21	21
284.0	0	19	19
285.0	0	12	12
286.0	0	24	24
287.0	0	23	23
288.0	0	8	8
289.0	0	18	18
290.0	0	24	24
291.0	0	16	16
292.0	0	13	13
293.0	0	14	14
294.0	0	13	13
295.0	0	16	16
296.0	0	17	17
297.0	0	17	17
298.0	0	18	18
299.0	0	20	20
300.0	0	24	24
301.0	0	13	13
302.0	0	14	14
303.0	0	16	16
304.0	0	19	19
305.0	0	19	19
306.0	0	21	21
307.0	0	16	16
308.0	0	22	22
309.0	0	11	11
310.0	0	23	23
311.0	0	11	11
312.0	0	22	22
313.0	0	16	16
314.0	0	14	14
315.0	0	14	14
316.0	0	9	9
317.0	0	16	16
318.0	0	12	12
319.0	0	18	18
320.0	0	11	11
321.0	0	12	12
322.0	0	11	11
323.0	0	6	6
324.0	0	10	10
325.0	0	15	15
326.0	0	15	15
327.0	0	16	16
328.0	0	14	14
329.0	0	11	11
330.0	0	10	10
331.0	0	10	10
332.0	0	15	15
333.0	0	18	18
334.0	0	16	16
335.0	0	11	11
336.0	0	19	19
337.0	0	10	10
338.0	0	11	11
339.0	0	9	9
340.0	0	16	16
341.0	0	16	16
342.0	0	6	6
343.0	0	16	16
344.0	0	16	16
345.0	0	16	16
346.0	0	11	11
347.0	0	16	16
348.0	0	9	9
349.0	0	14	14
350.0	0	8	8
351.0	0	9	9
352.0	0	9	9
353.0	0	14	14
354.0	0	9	9
355.0	0	14	14
356.0	0	11	11
357.0	0	11	11
358.0	0	9	9
359.0	0	12	12
360.0	0	10	10
361.0	0	14	14
362.0	0	11	11
363.0	0	10	10
364.0	0	16	16
365.0	0	15	15
366.0	0	10	10
367.0	0	9	9
368.0	0	9	9
369.0	0	12	12
370.0	0	13	13
371.0	0	9	9
372.0	0	17	17
373.0	0	7	7
374.0	0	13	13
375.0	0	8	8
376.0	0	10	10
377.0	0	12	12
378.0	0	4	4
379.0	0	6	6
380.0	0	12	12
381.0	0	15	15
382.0	0	10	10
383.0	0	10	10
384.0	0	7	7
385.0	0	10	10
386.0	0	13	13
387.0	0	6	6
388.0	0	7	7
389.0	0	8	8
390.0	0	7	7
391.0	0	10	10
392.0	0	9	9
393.0	0	10	10
394.0	0	7	7
395.0	0	6	6
