## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/chan/diabetes_mellitus/outputs/picard/SRR15202008_sorted.bam] OUTPUT=/home/chan/diabetes_mellitus/outputs/picard/SRR15202008_deduped.bam METRICS_FILE=/home/chan/diabetes_mellitus/outputs/picard/SRR15202008_deduped.log REMOVE_DUPLICATES=true ASSUME_SORT_ORDER=coordinate TMP_DIR=[/home/chan/diabetes_mellitus/tmp] CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 20 19:44:01 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	70942	24671578	5929322	0	57970	11294805	0	0.458322	17869304

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	9574046	9574046
2.0	1.251411	2445148	2445148
3.0	1.314618	642833	642833
4.0	1.330509	234391	234391
5.0	1.334504	118492	118492
6.0	1.335508	72470	72470
7.0	1.335761	49258	49258
8.0	1.335824	35825	35825
9.0	1.33584	27388	27388
10.0	1.335844	21392	21392
11.0	1.335845	16926	16926
12.0	1.335846	13835	13835
13.0	1.335846	11699	11699
14.0	1.335846	9836	9836
15.0	1.335846	8361	8361
16.0	1.335846	7243	7243
17.0	1.335846	6337	6337
18.0	1.335846	5598	5598
19.0	1.335846	4903	4903
20.0	1.335846	4338	4338
21.0	1.335846	3938	3938
22.0	1.335846	3636	3636
23.0	1.335846	3262	3262
24.0	1.335846	2958	2958
25.0	1.335846	2699	2699
26.0	1.335846	2532	2532
27.0	1.335846	2212	2212
28.0	1.335846	2013	2013
29.0	1.335846	1961	1961
30.0	1.335846	1816	1816
31.0	1.335846	1646	1646
32.0	1.335846	1539	1539
33.0	1.335846	1421	1421
34.0	1.335846	1362	1362
35.0	1.335846	1289	1289
36.0	1.335846	1138	1138
37.0	1.335846	1109	1109
38.0	1.335846	1052	1052
39.0	1.335846	955	955
40.0	1.335846	928	928
41.0	1.335846	937	937
42.0	1.335846	845	845
43.0	1.335846	780	780
44.0	1.335846	769	769
45.0	1.335846	740	740
46.0	1.335846	686	686
47.0	1.335846	667	667
48.0	1.335846	593	593
49.0	1.335846	619	619
50.0	1.335846	546	546
51.0	1.335846	533	533
52.0	1.335846	499	499
53.0	1.335846	492	492
54.0	1.335846	440	440
55.0	1.335846	439	439
56.0	1.335846	462	462
57.0	1.335846	414	414
58.0	1.335846	397	397
59.0	1.335846	399	399
60.0	1.335846	393	393
61.0	1.335846	352	352
62.0	1.335846	322	322
63.0	1.335846	294	294
64.0	1.335846	338	338
65.0	1.335846	283	283
66.0	1.335846	273	273
67.0	1.335846	293	293
68.0	1.335846	280	280
69.0	1.335846	294	294
70.0	1.335846	254	254
71.0	1.335846	256	256
72.0	1.335846	255	255
73.0	1.335846	246	246
74.0	1.335846	236	236
75.0	1.335846	212	212
76.0	1.335846	221	221
77.0	1.335846	192	192
78.0	1.335846	191	191
79.0	1.335846	210	210
80.0	1.335846	187	187
81.0	1.335846	184	184
82.0	1.335846	201	201
83.0	1.335846	186	186
84.0	1.335846	164	164
85.0	1.335846	157	157
86.0	1.335846	144	144
87.0	1.335846	158	158
88.0	1.335846	148	148
89.0	1.335846	167	167
90.0	1.335846	137	137
91.0	1.335846	146	146
92.0	1.335846	137	137
93.0	1.335846	128	128
94.0	1.335846	119	119
95.0	1.335846	137	137
96.0	1.335846	100	100
97.0	1.335846	105	105
