## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/chan/diabetes_mellitus/outputs/picard/SRR15202007_sorted.bam] OUTPUT=/home/chan/diabetes_mellitus/outputs/picard/SRR15202007_deduped.bam METRICS_FILE=/home/chan/diabetes_mellitus/outputs/picard/SRR15202007_deduped.log REMOVE_DUPLICATES=true ASSUME_SORT_ORDER=coordinate TMP_DIR=[/home/chan/diabetes_mellitus/tmp] CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 20 19:46:49 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	59922	22509376	5253692	0	47760	9332777	0	0.415126	18962367

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	9686655	9686655
2.0	1.305118	2294958	2294958
3.0	1.398216	578132	578132
4.0	1.426621	207827	207827
5.0	1.435289	104750	104750
6.0	1.437933	63870	63870
7.0	1.43874	43200	43200
8.0	1.438986	31096	31096
9.0	1.439061	23249	23249
10.0	1.439084	18071	18071
11.0	1.439091	14412	14412
12.0	1.439093	11756	11756
13.0	1.439094	9548	9548
14.0	1.439094	8292	8292
15.0	1.439094	6995	6995
16.0	1.439094	5977	5977
17.0	1.439094	5162	5162
18.0	1.439094	4566	4566
19.0	1.439094	3927	3927
20.0	1.439094	3624	3624
21.0	1.439094	3319	3319
22.0	1.439094	2887	2887
23.0	1.439094	2626	2626
24.0	1.439094	2344	2344
25.0	1.439094	2115	2115
26.0	1.439094	1942	1942
27.0	1.439094	1701	1701
28.0	1.439094	1700	1700
29.0	1.439094	1547	1547
30.0	1.439094	1406	1406
31.0	1.439094	1312	1312
32.0	1.439094	1208	1208
33.0	1.439094	1139	1139
34.0	1.439094	1066	1066
35.0	1.439094	976	976
36.0	1.439094	934	934
37.0	1.439094	884	884
38.0	1.439094	868	868
39.0	1.439094	687	687
40.0	1.439094	686	686
41.0	1.439094	659	659
42.0	1.439094	584	584
43.0	1.439094	598	598
44.0	1.439094	560	560
45.0	1.439094	546	546
46.0	1.439094	499	499
47.0	1.439094	482	482
48.0	1.439094	439	439
49.0	1.439094	430	430
50.0	1.439094	390	390
51.0	1.439094	418	418
52.0	1.439094	352	352
53.0	1.439094	344	344
54.0	1.439094	376	376
55.0	1.439094	347	347
56.0	1.439094	329	329
57.0	1.439094	357	357
58.0	1.439094	280	280
59.0	1.439094	281	281
60.0	1.439094	278	278
61.0	1.439094	234	234
62.0	1.439094	251	251
63.0	1.439094	250	250
64.0	1.439094	241	241
65.0	1.439094	219	219
66.0	1.439094	209	209
67.0	1.439094	212	212
68.0	1.439094	200	200
69.0	1.439094	173	173
70.0	1.439094	175	175
71.0	1.439094	176	176
72.0	1.439094	197	197
73.0	1.439094	214	214
74.0	1.439094	162	162
75.0	1.439094	168	168
76.0	1.439094	160	160
77.0	1.439094	152	152
78.0	1.439094	127	127
