## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/chan/mice_microgravity/outputs_primary/picard/SRR13535304_sorted.bam] OUTPUT=/home/chan/mice_microgravity/outputs_primary/picard/SRR13535304_deduped.bam METRICS_FILE=/home/chan/mice_microgravity/outputs_primary/picard/SRR13535304_deduped.log REMOVE_DUPLICATES=true ASSUME_SORT_ORDER=coordinate TMP_DIR=[/home/chan/mice_microgravity/tmp] CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 21 14:12:00 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	291002	10608769	5526806	0	266066	7808119	0	0.738419	2872105

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	1939863	1939863
2.0	1.024879	440290	440290
3.0	1.025498	136132	136132
4.0	1.025513	61094	61094
5.0	1.025514	36058	36058
6.0	1.025514	24987	24987
7.0	1.025514	18208	18208
8.0	1.025514	14350	14350
9.0	1.025514	11363	11363
10.0	1.025514	9456	9456
11.0	1.025514	8026	8026
12.0	1.025514	6795	6795
13.0	1.025514	5972	5972
14.0	1.025514	5360	5360
15.0	1.025514	4722	4722
16.0	1.025514	4094	4094
17.0	1.025514	3758	3758
18.0	1.025514	3271	3271
19.0	1.025514	3072	3072
20.0	1.025514	2780	2780
21.0	1.025514	2590	2590
22.0	1.025514	2289	2289
23.0	1.025514	2205	2205
24.0	1.025514	2024	2024
25.0	1.025514	1875	1875
26.0	1.025514	1814	1814
27.0	1.025514	1610	1610
28.0	1.025514	1476	1476
29.0	1.025514	1502	1502
30.0	1.025514	1368	1368
31.0	1.025514	1292	1292
32.0	1.025514	1241	1241
33.0	1.025514	1172	1172
34.0	1.025514	1083	1083
35.0	1.025514	1029	1029
36.0	1.025514	917	917
37.0	1.025514	956	956
38.0	1.025514	879	879
39.0	1.025514	813	813
40.0	1.025514	814	814
41.0	1.025514	753	753
42.0	1.025514	726	726
43.0	1.025514	689	689
44.0	1.025514	671	671
45.0	1.025514	644	644
46.0	1.025514	631	631
47.0	1.025514	610	610
48.0	1.025514	601	601
49.0	1.025514	546	546
50.0	1.025514	531	531
51.0	1.025514	535	535
52.0	1.025514	479	479
53.0	1.025514	492	492
54.0	1.025514	509	509
55.0	1.025514	402	402
56.0	1.025514	440	440
57.0	1.025514	416	416
58.0	1.025514	423	423
59.0	1.025514	402	402
60.0	1.025514	391	391
61.0	1.025514	354	354
62.0	1.025514	354	354
63.0	1.025514	358	358
64.0	1.025514	320	320
65.0	1.025514	334	334
66.0	1.025514	292	292
67.0	1.025514	300	300
68.0	1.025514	258	258
69.0	1.025514	300	300
70.0	1.025514	285	285
71.0	1.025514	285	285
72.0	1.025514	255	255
73.0	1.025514	257	257
74.0	1.025514	231	231
75.0	1.025514	246	246
76.0	1.025514	238	238
77.0	1.025514	219	219
78.0	1.025514	231	231
79.0	1.025514	270	270
80.0	1.025514	211	211
81.0	1.025514	203	203
82.0	1.025514	186	186
83.0	1.025514	215	215
84.0	1.025514	173	173
85.0	1.025514	222	222
86.0	1.025514	178	178
87.0	1.025514	188	188
88.0	1.025514	156	156
89.0	1.025514	164	164
90.0	1.025514	171	171
91.0	1.025514	194	194
92.0	1.025514	183	183
93.0	1.025514	148	148
94.0	1.025514	161	161
95.0	1.025514	132	132
96.0	1.025514	161	161
97.0	1.025514	153	153
98.0	1.025514	150	150
99.0	1.025514	144	144
100.0	1.025514	131	131
101.0	0	153	153
102.0	0	131	131
103.0	0	138	138
104.0	0	138	138
105.0	0	120	120
106.0	0	125	125
107.0	0	131	131
108.0	0	109	109
109.0	0	135	135
110.0	0	136	136
111.0	0	96	96
112.0	0	114	114
113.0	0	113	113
114.0	0	120	120
115.0	0	122	122
116.0	0	112	112
117.0	0	99	99
118.0	0	95	95
119.0	0	102	102
120.0	0	111	111
121.0	0	100	100
122.0	0	95	95
123.0	0	108	108
124.0	0	85	85
125.0	0	72	72
126.0	0	102	102
127.0	0	83	83
128.0	0	94	94
129.0	0	84	84
130.0	0	77	77
131.0	0	91	91
132.0	0	72	72
133.0	0	68	68
134.0	0	77	77
135.0	0	70	70
136.0	0	89	89
137.0	0	76	76
138.0	0	68	68
139.0	0	71	71
140.0	0	66	66
141.0	0	67	67
142.0	0	65	65
143.0	0	66	66
144.0	0	76	76
145.0	0	69	69
146.0	0	76	76
147.0	0	66	66
148.0	0	64	64
149.0	0	61	61
150.0	0	64	64
151.0	0	62	62
152.0	0	68	68
153.0	0	58	58
154.0	0	58	58
155.0	0	49	49
156.0	0	60	60
157.0	0	51	51
158.0	0	64	64
159.0	0	56	56
160.0	0	52	52
161.0	0	55	55
162.0	0	46	46
163.0	0	47	47
164.0	0	51	51
165.0	0	46	46
166.0	0	39	39
167.0	0	61	61
168.0	0	49	49
169.0	0	45	45
170.0	0	45	45
171.0	0	41	41
172.0	0	48	48
173.0	0	35	35
174.0	0	43	43
175.0	0	42	42
176.0	0	39	39
177.0	0	52	52
178.0	0	51	51
179.0	0	45	45
180.0	0	49	49
181.0	0	41	41
182.0	0	34	34
183.0	0	33	33
184.0	0	38	38
185.0	0	41	41
186.0	0	25	25
187.0	0	47	47
188.0	0	30	30
189.0	0	45	45
190.0	0	36	36
191.0	0	39	39
192.0	0	27	27
193.0	0	29	29
194.0	0	28	28
195.0	0	28	28
196.0	0	35	35
197.0	0	27	27
198.0	0	19	19
199.0	0	37	37
200.0	0	39	39
201.0	0	34	34
202.0	0	40	40
203.0	0	34	34
204.0	0	31	31
205.0	0	30	30
206.0	0	41	41
207.0	0	27	27
208.0	0	33	33
209.0	0	28	28
210.0	0	26	26
211.0	0	29	29
212.0	0	28	28
213.0	0	29	29
214.0	0	34	34
215.0	0	35	35
216.0	0	31	31
217.0	0	32	32
218.0	0	31	31
219.0	0	20	20
220.0	0	30	30
221.0	0	22	22
222.0	0	22	22
223.0	0	23	23
224.0	0	24	24
225.0	0	27	27
226.0	0	27	27
227.0	0	25	25
228.0	0	26	26
229.0	0	20	20
230.0	0	25	25
231.0	0	31	31
232.0	0	33	33
233.0	0	24	24
234.0	0	29	29
235.0	0	26	26
236.0	0	15	15
237.0	0	30	30
238.0	0	16	16
239.0	0	30	30
240.0	0	13	13
241.0	0	25	25
242.0	0	29	29
243.0	0	26	26
244.0	0	11	11
245.0	0	18	18
246.0	0	19	19
247.0	0	21	21
248.0	0	18	18
249.0	0	15	15
250.0	0	22	22
251.0	0	16	16
252.0	0	18	18
253.0	0	17	17
254.0	0	21	21
255.0	0	15	15
256.0	0	25	25
257.0	0	14	14
258.0	0	24	24
259.0	0	20	20
260.0	0	15	15
261.0	0	20	20
262.0	0	14	14
263.0	0	26	26
264.0	0	21	21
265.0	0	14	14
266.0	0	25	25
267.0	0	21	21
268.0	0	15	15
269.0	0	14	14
270.0	0	27	27
271.0	0	12	12
272.0	0	17	17
273.0	0	24	24
274.0	0	14	14
275.0	0	18	18
276.0	0	17	17
277.0	0	22	22
278.0	0	24	24
279.0	0	17	17
280.0	0	11	11
281.0	0	13	13
282.0	0	12	12
283.0	0	10	10
284.0	0	14	14
285.0	0	11	11
286.0	0	17	17
287.0	0	19	19
288.0	0	15	15
289.0	0	13	13
290.0	0	20	20
291.0	0	17	17
292.0	0	14	14
293.0	0	10	10
294.0	0	12	12
295.0	0	17	17
296.0	0	12	12
297.0	0	10	10
298.0	0	13	13
299.0	0	12	12
300.0	0	15	15
301.0	0	13	13
302.0	0	14	14
303.0	0	11	11
304.0	0	15	15
305.0	0	10	10
306.0	0	19	19
307.0	0	19	19
308.0	0	11	11
309.0	0	15	15
310.0	0	12	12
311.0	0	11	11
312.0	0	11	11
313.0	0	13	13
314.0	0	11	11
315.0	0	9	9
316.0	0	11	11
317.0	0	17	17
318.0	0	7	7
319.0	0	12	12
320.0	0	8	8
321.0	0	15	15
322.0	0	13	13
323.0	0	13	13
324.0	0	10	10
325.0	0	9	9
326.0	0	11	11
327.0	0	7	7
328.0	0	18	18
329.0	0	12	12
330.0	0	11	11
331.0	0	11	11
332.0	0	8	8
333.0	0	13	13
334.0	0	15	15
335.0	0	16	16
336.0	0	14	14
337.0	0	11	11
338.0	0	19	19
339.0	0	10	10
340.0	0	7	7
341.0	0	11	11
342.0	0	11	11
343.0	0	10	10
344.0	0	13	13
345.0	0	12	12
346.0	0	10	10
347.0	0	11	11
348.0	0	12	12
349.0	0	13	13
350.0	0	6	6
351.0	0	7	7
352.0	0	9	9
353.0	0	14	14
354.0	0	13	13
355.0	0	6	6
356.0	0	10	10
357.0	0	11	11
358.0	0	3	3
359.0	0	11	11
360.0	0	15	15
361.0	0	9	9
362.0	0	5	5
363.0	0	15	15
364.0	0	11	11
365.0	0	14	14
366.0	0	4	4
367.0	0	11	11
368.0	0	4	4
369.0	0	7	7
370.0	0	7	7
371.0	0	9	9
372.0	0	8	8
373.0	0	7	7
374.0	0	7	7
375.0	0	17	17
376.0	0	8	8
377.0	0	13	13
378.0	0	8	8
379.0	0	10	10
380.0	0	8	8
381.0	0	9	9
382.0	0	5	5
383.0	0	9	9
384.0	0	4	4
385.0	0	10	10
386.0	0	14	14
387.0	0	8	8
388.0	0	12	12
389.0	0	10	10
390.0	0	6	6
391.0	0	10	10
392.0	0	6	6
393.0	0	6	6
394.0	0	8	8
395.0	0	2	2
396.0	0	12	12
397.0	0	13	13
398.0	0	5	5
399.0	0	9	9
400.0	0	10	10
401.0	0	7	7
402.0	0	9	9
403.0	0	7	7
404.0	0	8	8
405.0	0	6	6
406.0	0	4	4
407.0	0	11	11
408.0	0	7	7
409.0	0	6	6
410.0	0	8	8
411.0	0	5	5
412.0	0	8	8
413.0	0	6	6
414.0	0	4	4
415.0	0	6	6
416.0	0	5	5
417.0	0	7	7
418.0	0	6	6
419.0	0	5	5
420.0	0	12	12
421.0	0	8	8
422.0	0	9	9
423.0	0	5	5
424.0	0	7	7
