## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/chan/mice_microgravity/outputs_primary/picard/SRR13535278_sorted.bam] OUTPUT=/home/chan/mice_microgravity/outputs_primary/picard/SRR13535278_deduped.bam METRICS_FILE=/home/chan/mice_microgravity/outputs_primary/picard/SRR13535278_deduped.log REMOVE_DUPLICATES=true ASSUME_SORT_ORDER=coordinate TMP_DIR=[/home/chan/mice_microgravity/tmp] CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 21 14:12:23 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	403731	22152385	16678835	0	383721	18671605	0	0.843842	3486851

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	2459585	2459585
2.0	1.001741	509899	509899
3.0	1.001744	141522	141522
4.0	1.001744	61409	61409
5.0	1.001744	36801	36801
6.0	1.001744	26575	26575
7.0	1.001744	20408	20408
8.0	1.001744	16400	16400
9.0	1.001744	13945	13945
10.0	1.001744	11681	11681
11.0	1.001744	10044	10044
12.0	1.001744	8973	8973
13.0	1.001744	7878	7878
14.0	1.001744	7080	7080
15.0	1.001744	6272	6272
16.0	1.001744	5788	5788
17.0	1.001744	5377	5377
18.0	1.001744	4716	4716
19.0	1.001744	4393	4393
20.0	1.001744	4138	4138
21.0	1.001744	3870	3870
22.0	1.001744	3542	3542
23.0	1.001744	3280	3280
24.0	1.001744	3143	3143
25.0	1.001744	3046	3046
26.0	1.001744	2692	2692
27.0	1.001744	2592	2592
28.0	1.001744	2441	2441
29.0	1.001744	2362	2362
30.0	1.001744	2129	2129
31.0	1.001744	2069	2069
32.0	1.001744	2016	2016
33.0	1.001744	1882	1882
34.0	1.001744	1764	1764
35.0	1.001744	1702	1702
36.0	1.001744	1720	1720
37.0	1.001744	1592	1592
38.0	1.001744	1519	1519
39.0	1.001744	1477	1477
40.0	1.001744	1395	1395
41.0	1.001744	1371	1371
42.0	1.001744	1271	1271
43.0	1.001744	1305	1305
44.0	1.001744	1141	1141
45.0	1.001744	1100	1100
46.0	1.001744	1078	1078
47.0	1.001744	1081	1081
48.0	1.001744	1033	1033
49.0	1.001744	1035	1035
50.0	1.001744	975	975
51.0	1.001744	947	947
52.0	1.001744	903	903
53.0	1.001744	951	951
54.0	1.001744	922	922
55.0	1.001744	808	808
56.0	1.001744	788	788
57.0	1.001744	845	845
58.0	1.001744	824	824
59.0	1.001744	808	808
60.0	1.001744	806	806
61.0	1.001744	722	722
62.0	1.001744	715	715
63.0	1.001744	666	666
64.0	1.001744	652	652
65.0	1.001744	647	647
66.0	1.001744	665	665
67.0	1.001744	622	622
68.0	1.001744	624	624
69.0	1.001744	597	597
70.0	1.001744	560	560
71.0	1.001744	584	584
72.0	1.001744	537	537
73.0	1.001744	524	524
74.0	1.001744	538	538
75.0	1.001744	504	504
76.0	1.001744	461	461
77.0	1.001744	460	460
78.0	1.001744	473	473
79.0	1.001744	478	478
80.0	1.001744	431	431
81.0	1.001744	443	443
82.0	1.001744	438	438
83.0	1.001744	445	445
84.0	1.001744	417	417
85.0	1.001744	404	404
86.0	1.001744	414	414
87.0	1.001744	397	397
88.0	1.001744	365	365
89.0	1.001744	389	389
90.0	1.001744	354	354
91.0	1.001744	389	389
92.0	1.001744	380	380
93.0	1.001744	344	344
94.0	1.001744	372	372
95.0	1.001744	358	358
96.0	1.001744	356	356
97.0	1.001744	321	321
98.0	1.001744	345	345
99.0	1.001744	323	323
100.0	1.001744	299	299
101.0	0	290	290
102.0	0	256	256
103.0	0	285	285
104.0	0	288	288
105.0	0	278	278
106.0	0	277	277
107.0	0	275	275
108.0	0	262	262
109.0	0	287	287
110.0	0	253	253
111.0	0	282	282
112.0	0	230	230
113.0	0	279	279
114.0	0	246	246
115.0	0	221	221
116.0	0	234	234
117.0	0	235	235
118.0	0	235	235
119.0	0	234	234
120.0	0	209	209
121.0	0	195	195
122.0	0	228	228
123.0	0	202	202
124.0	0	206	206
125.0	0	225	225
126.0	0	211	211
127.0	0	195	195
128.0	0	204	204
129.0	0	208	208
130.0	0	195	195
131.0	0	192	192
132.0	0	194	194
133.0	0	198	198
134.0	0	191	191
135.0	0	201	201
136.0	0	184	184
137.0	0	173	173
138.0	0	184	184
139.0	0	158	158
140.0	0	159	159
141.0	0	171	171
142.0	0	158	158
143.0	0	168	168
144.0	0	181	181
145.0	0	156	156
146.0	0	153	153
147.0	0	151	151
148.0	0	178	178
149.0	0	143	143
150.0	0	155	155
151.0	0	158	158
152.0	0	141	141
153.0	0	151	151
154.0	0	124	124
155.0	0	136	136
156.0	0	143	143
157.0	0	150	150
158.0	0	155	155
159.0	0	113	113
160.0	0	131	131
161.0	0	132	132
162.0	0	109	109
163.0	0	119	119
164.0	0	127	127
165.0	0	137	137
166.0	0	138	138
167.0	0	121	121
168.0	0	124	124
169.0	0	117	117
170.0	0	109	109
171.0	0	130	130
172.0	0	111	111
173.0	0	118	118
174.0	0	135	135
175.0	0	132	132
176.0	0	119	119
177.0	0	114	114
178.0	0	116	116
179.0	0	95	95
180.0	0	120	120
181.0	0	110	110
182.0	0	112	112
183.0	0	106	106
184.0	0	124	124
185.0	0	104	104
186.0	0	87	87
187.0	0	98	98
188.0	0	91	91
189.0	0	98	98
190.0	0	75	75
191.0	0	110	110
192.0	0	86	86
193.0	0	117	117
194.0	0	80	80
195.0	0	84	84
196.0	0	77	77
197.0	0	101	101
198.0	0	75	75
199.0	0	85	85
200.0	0	108	108
201.0	0	96	96
202.0	0	101	101
203.0	0	78	78
204.0	0	93	93
205.0	0	86	86
206.0	0	83	83
207.0	0	103	103
208.0	0	80	80
209.0	0	82	82
210.0	0	84	84
211.0	0	76	76
212.0	0	82	82
213.0	0	87	87
214.0	0	77	77
215.0	0	77	77
216.0	0	63	63
217.0	0	71	71
218.0	0	90	90
219.0	0	76	76
220.0	0	78	78
221.0	0	74	74
222.0	0	74	74
223.0	0	59	59
224.0	0	65	65
225.0	0	66	66
226.0	0	76	76
227.0	0	82	82
228.0	0	74	74
229.0	0	70	70
230.0	0	88	88
231.0	0	60	60
232.0	0	51	51
233.0	0	77	77
234.0	0	63	63
235.0	0	63	63
236.0	0	76	76
237.0	0	64	64
238.0	0	53	53
239.0	0	54	54
240.0	0	64	64
241.0	0	51	51
242.0	0	66	66
243.0	0	55	55
244.0	0	66	66
245.0	0	68	68
246.0	0	54	54
247.0	0	57	57
248.0	0	64	64
249.0	0	59	59
250.0	0	66	66
251.0	0	51	51
252.0	0	57	57
253.0	0	51	51
254.0	0	60	60
255.0	0	56	56
256.0	0	59	59
257.0	0	64	64
258.0	0	45	45
259.0	0	62	62
260.0	0	49	49
261.0	0	68	68
262.0	0	57	57
263.0	0	64	64
264.0	0	65	65
265.0	0	42	42
266.0	0	70	70
267.0	0	56	56
268.0	0	58	58
269.0	0	49	49
270.0	0	74	74
271.0	0	44	44
272.0	0	42	42
273.0	0	55	55
274.0	0	47	47
275.0	0	44	44
276.0	0	45	45
277.0	0	37	37
278.0	0	42	42
279.0	0	34	34
280.0	0	46	46
281.0	0	31	31
282.0	0	40	40
283.0	0	46	46
284.0	0	44	44
285.0	0	30	30
286.0	0	43	43
287.0	0	48	48
288.0	0	52	52
289.0	0	39	39
290.0	0	45	45
291.0	0	47	47
292.0	0	39	39
293.0	0	47	47
294.0	0	45	45
295.0	0	42	42
296.0	0	35	35
297.0	0	39	39
298.0	0	41	41
299.0	0	34	34
300.0	0	23	23
301.0	0	40	40
302.0	0	45	45
303.0	0	25	25
304.0	0	42	42
305.0	0	36	36
306.0	0	39	39
307.0	0	40	40
308.0	0	40	40
309.0	0	31	31
310.0	0	32	32
311.0	0	32	32
312.0	0	36	36
313.0	0	40	40
314.0	0	29	29
315.0	0	36	36
316.0	0	45	45
317.0	0	46	46
318.0	0	40	40
319.0	0	40	40
320.0	0	27	27
321.0	0	40	40
322.0	0	35	35
323.0	0	27	27
324.0	0	26	26
325.0	0	31	31
326.0	0	29	29
327.0	0	43	43
328.0	0	30	30
329.0	0	45	45
330.0	0	30	30
331.0	0	27	27
332.0	0	33	33
333.0	0	32	32
334.0	0	34	34
335.0	0	28	28
336.0	0	35	35
337.0	0	27	27
338.0	0	24	24
339.0	0	29	29
340.0	0	33	33
341.0	0	21	21
342.0	0	30	30
343.0	0	27	27
344.0	0	22	22
345.0	0	36	36
346.0	0	35	35
347.0	0	27	27
348.0	0	26	26
349.0	0	26	26
350.0	0	20	20
351.0	0	25	25
352.0	0	33	33
353.0	0	29	29
354.0	0	36	36
355.0	0	29	29
356.0	0	33	33
357.0	0	31	31
358.0	0	26	26
359.0	0	28	28
360.0	0	26	26
361.0	0	33	33
362.0	0	26	26
